n,r,m
"(:Person {name: Ella Smith, id: ellaSmith})",[:HAS_SKILLS],"(:Technology {name: Machine Learning, id: machineLearning})"
"(:Person {name: Ella Smith, id: ellaSmith})",[:HAS_SKILLS],"(:Technology {name: Data Analytics, id: dataAnalytics})"
"(:Person {name: Ella Smith, id: ellaSmith})",[:HAS_SKILLS],"(:Technology {name: Azure, id: azure})"
"(:Person {name: Ella Smith, id: ellaSmith})",[:HAS_SKILLS],"(:Technology {name: Python, id: python})"
"(:Person {name: Ella Smith, id: ellaSmith})",[:HAS_PEOPLE],"(:Project {summary: , name: AlphaCorp AWS-Powered Sales Analytics Dashboard, id: alphacorpAWSPoweredSalesAnalyticsDashboard})"
"(:Person {name: Ella Smith, id: ellaSmith})",[:HAS_PEOPLE],"(:Project {summary: , name: DeltaEdu AI-Powered Student Performance Analytics on AWS, id: deltaeduAIPoweredStudentPerformanceAnalyticsOnAWS})"
"(:Person {name: Ella Smith, id: ellaSmith})",[:SENT],"(:SlackMessage {id: a00bdb250, text: The virtual representation of the manufacturing unit using Azure Digital Twins for GammaTech is fascinating. It's like having a digital twin of the entire facility.})"
"(:Person {name: Ella Smith, id: ellaSmith})",[:SENT],"(:SlackMessage {id: e1bfefdef, text: Has anyone tried the breakout rooms in DeltaEdu's Virtual Classroom? I'd love to get feedback.})"
"(:Person {name: Lucas Taylor, id: lucasTaylor})",[:HAS_SKILLS],"(:Technology {name: AWS, id: aws})"
"(:Person {name: Lucas Taylor, id: lucasTaylor})",[:HAS_SKILLS],"(:Technology {name: Cloud Computing, id: cloudComputing})"
"(:Person {name: Lucas Taylor, id: lucasTaylor})",[:HAS_SKILLS],"(:Technology {name: DevOps, id: devOps})"
"(:Person {name: Lucas Taylor, id: lucasTaylor})",[:HAS_SKILLS],"(:Technology {name: Data Warehousing, id: dataWarehousing})"
"(:Person {name: Lucas Taylor, id: lucasTaylor})",[:HAS_PEOPLE],"(:Project {summary: , name: GammaTech IoT-Driven Manufacturing Monitoring System on Azure, id: gammatechIoTDrivenManufacturingMonitoringSystemOnAzure})"
"(:Person {name: Lucas Taylor, id: lucasTaylor})",[:HAS_PEOPLE],"(:Project {summary: , name: BetaHealth Telemedicine Platform on Microsoft Azure, id: betahealthTelemedicinePlatformOnMicrosoftAzure})"
"(:Person {name: Lucas Taylor, id: lucasTaylor})",[:SENT],"(:SlackMessage {id: 01e37dce1, text: The Virtual Classroom Platform for DeltaEdu on AWS is shaping up really well. The real-time quizzes feature is a hit!})"
"(:Person {name: Lucas Taylor, id: lucasTaylor})",[:SENT],"(:SlackMessage {id: 877c0c6d3, text: The remote monitoring in BetaHealth's Telemedicine Platform ensures continuous patient care. Azure's scalability made it possible.})"
"(:Person {name: Lucas Taylor, id: lucasTaylor})",[:SENT],"(:SlackMessage {id: 3d2b4744c, text: Has anyone tried the breakout rooms in DeltaEdu's Virtual Classroom? I'd love to get feedback.})"
"(:Project {summary: , name: BetaHealth Telemedicine Platform on Microsoft Azure, id: betahealthTelemedicinePlatformOnMicrosoftAzure})",[:HAS_PEOPLE],"(:Person {name: Ava Jackson, id: avaJackson})"
"(:Person {name: Liam Thompson, id: liamThompson})",[:HAS_SKILLS],"(:Technology {name: Azure, id: azure})"
"(:Person {name: Liam Thompson, id: liamThompson})",[:HAS_SKILLS],"(:Technology {name: Data Security, id: dataSecurity})"
"(:Person {name: Liam Thompson, id: liamThompson})",[:HAS_SKILLS],"(:Technology {name: Compliance, id: compliance})"
"(:Person {name: Liam Thompson, id: liamThompson})",[:HAS_SKILLS],"(:Technology {name: Healthcare Regulations, id: healthcareRegulations})"
"(:Person {name: Liam Thompson, id: liamThompson})",[:HAS_PEOPLE],"(:Project {summary: , name: DeltaEdu AI-Powered Student Performance Analytics on AWS, id: deltaeduAIPoweredStudentPerformanceAnalyticsOnAWS})"
"(:Person {name: Liam Thompson, id: liamThompson})",[:HAS_PEOPLE],"(:Project {summary: , name: GammaTech IoT-Driven Manufacturing Monitoring System on Azure, id: gammatechIoTDrivenManufacturingMonitoringSystemOnAzure})"
"(:Person {name: Liam Thompson, id: liamThompson})",[:HAS_PEOPLE],"(:Project {summary: , name: DeltaEdu Virtual Classroom Platform on AWS, id: deltaeduVirtualClassroomPlatformOnAWS})"
"(:Person {name: Liam Thompson, id: liamThompson})",[:SENT],"(:SlackMessage {id: f17f60cc0, text: The virtual representation of the manufacturing unit using Azure Digital Twins for GammaTech is fascinating. It's like having a digital twin of the entire facility.})"
"(:Person {name: Sophia Anderson, id: sophiaAnderson})",[:HAS_SKILLS],"(:Technology {name: Machine Learning, id: machineLearning})"
"(:Person {name: Sophia Anderson, id: sophiaAnderson})",[:HAS_SKILLS],"(:Technology {name: Data Analytics, id: dataAnalytics})"
"(:Person {name: Sophia Anderson, id: sophiaAnderson})",[:HAS_SKILLS],"(:Technology {name: Azure, id: azure})"
"(:Person {name: Sophia Anderson, id: sophiaAnderson})",[:HAS_SKILLS],"(:Technology {name: Data Warehousing, id: dataWarehousing})"
"(:Person {name: Sophia Anderson, id: sophiaAnderson})",[:HAS_PEOPLE],"(:Project {summary: , name: GammaTech IoT-Driven Manufacturing Monitoring System on Azure, id: gammatechIoTDrivenManufacturingMonitoringSystemOnAzure})"
"(:Person {name: Sophia Anderson, id: sophiaAnderson})",[:HAS_PEOPLE],"(:Project {summary: , name: BetaHealth Telemedicine Platform on Microsoft Azure, id: betahealthTelemedicinePlatformOnMicrosoftAzure})"
"(:Person {name: Sophia Anderson, id: sophiaAnderson})",[:SENT],"(:SlackMessage {id: 843bab5fa, text: I've been testing the loyalty rewards feature in EpsilonFinance's app. The user engagement is bound to skyrocket!})"
"(:Person {name: Sophia Anderson, id: sophiaAnderson})",[:SENT],"(:SlackMessage {id: 408133de0, text: Patient data security in BetaHealth's Telemedicine Platform has been a challenge, but Azure Security Center has been a great help.})"
"(:Person {name: Sophia Anderson, id: sophiaAnderson})",[:SENT],"(:SlackMessage {id: c9e872b6a, text: Securing user data in EpsilonFinance's Digital Wallet has been top priority. Google Cloud's security features have been instrumental.})"
"(:Person {name: Aiden Lewis, id: aidenLewis})",[:HAS_SKILLS],"(:Technology {name: Azure, id: azure})"
"(:Person {name: Aiden Lewis, id: aidenLewis})",[:HAS_SKILLS],"(:Technology {name: Python, id: python})"
"(:Person {name: Aiden Lewis, id: aidenLewis})",[:HAS_SKILLS],"(:Technology {name: IoT, id: iot})"
"(:Person {name: Aiden Lewis, id: aidenLewis})",[:HAS_SKILLS],"(:Technology {name: Real-time Data Management, id: realTimeDataManagement})"
"(:Person {name: Aiden Lewis, id: aidenLewis})",[:HAS_PEOPLE],"(:Project {summary: , name: BetaHealth Telemedicine Platform on Microsoft Azure, id: betahealthTelemedicinePlatformOnMicrosoftAzure})"
"(:Person {name: Aiden Lewis, id: aidenLewis})",[:SENT],"(:SlackMessage {id: 4203972ad, text: GammaTech's Manufacturing Monitoring System has significantly reduced downtimes. Real-time monitoring is the future.})"
"(:Person {name: Aiden Lewis, id: aidenLewis})",[:SENT],"(:SlackMessage {id: a5959a966, text: Has anyone checked the new visualization module in AlphaCorp's dashboard? The insights are so detailed.})"
"(:Person {name: Sarah Johnson, id: sarahJohnson})",[:HAS_SKILLS],"(:Technology {name: Machine Learning, id: machineLearning})"
"(:Person {name: Sarah Johnson, id: sarahJohnson})",[:HAS_SKILLS],"(:Technology {name: Data Analytics, id: dataAnalytics})"
"(:Person {name: Sarah Johnson, id: sarahJohnson})",[:HAS_SKILLS],"(:Technology {name: Azure, id: azure})"
